board,date,hotel,price,rate,room
Desayuno,2022-06-01,Hotel 1,160,Reembolsable,Suite
Media Pension,2022-06-01,Hotel 1,92,No Reembolsable,Suite
Solo Alojamiento,2022-06-01,Hotel 1,192,No Reembolsable,Triple
Desayuno,2022-06-01,Hotel 1,101,Reembolsable,Junior Suite
Media Pension,2022-06-01,Hotel 1,79,No Reembolsable,Junior Suite
Pension Completa,2022-06-01,Hotel 1,83,Reembolsable,Triple
Desayuno,2022-06-01,Hotel 1,90,No Reembolsable,Junior Suite
Media Pension,2022-06-01,Hotel 1,164,Reembolsable,Suite
Media Pension,2022-06-01,Hotel 1,73,No Reembolsable,Suite
Todo Incluido,2022-06-02,Hotel 1,85,Reembolsable,Suite
Todo Incluido,2022-06-02,Hotel 1,115,No Reembolsable,Triple
Solo Alojamiento,2022-06-02,Hotel 1,93,No Reembolsable,Doble
Media Pension,2022-06-02,Hotel 1,98,No Reembolsable,Doble
Media Pension,2022-06-02,Hotel 1,100,Reembolsable,Triple
Pension Completa,2022-06-02,Hotel 1,197,Reembolsable,Junior Suite
Desayuno,2022-06-02,Hotel 1,70,No Reembolsable,Junior Suite
Media Pension,2022-06-02,Hotel 1,150,No Reembolsable,Doble
Media Pension,2022-06-02,Hotel 1,165,Reembolsable,Suite
Media Pension,2022-06-03,Hotel 1,104,Reembolsable,Individual
Desayuno,2022-06-03,Hotel 1,110,Reembolsable,Doble
Todo Incluido,2022-06-03,Hotel 1,157,No Reembolsable,Triple
Media Pension,2022-06-03,Hotel 1,106,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-03,Hotel 1,75,Reembolsable,Suite
Todo Incluido,2022-06-03,Hotel 1,70,Reembolsable,Individual
Solo Alojamiento,2022-06-03,Hotel 1,83,Reembolsable,Doble
Solo Alojamiento,2022-06-03,Hotel 1,125,Reembolsable,Suite
Pension Completa,2022-06-03,Hotel 1,192,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-04,Hotel 1,179,No Reembolsable,Suite
Media Pension,2022-06-04,Hotel 1,141,No Reembolsable,Doble
Solo Alojamiento,2022-06-04,Hotel 1,118,No Reembolsable,Triple
Solo Alojamiento,2022-06-04,Hotel 1,130,No Reembolsable,Suite
Pension Completa,2022-06-04,Hotel 1,115,Reembolsable,Suite
Media Pension,2022-06-04,Hotel 1,74,No Reembolsable,Suite
Solo Alojamiento,2022-06-04,Hotel 1,194,Reembolsable,Triple
Media Pension,2022-06-04,Hotel 1,93,No Reembolsable,Doble
Media Pension,2022-06-04,Hotel 1,125,No Reembolsable,Suite
Desayuno,2022-06-05,Hotel 1,148,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-05,Hotel 1,85,No Reembolsable,Junior Suite
Todo Incluido,2022-06-05,Hotel 1,124,Reembolsable,Triple
Pension Completa,2022-06-05,Hotel 1,99,No Reembolsable,Individual
Solo Alojamiento,2022-06-05,Hotel 1,197,Reembolsable,Triple
Desayuno,2022-06-05,Hotel 1,147,Reembolsable,Individual
Desayuno,2022-06-05,Hotel 1,94,Reembolsable,Individual
Solo Alojamiento,2022-06-05,Hotel 1,94,No Reembolsable,Junior Suite
Pension Completa,2022-06-05,Hotel 1,86,Reembolsable,Junior Suite
Media Pension,2022-06-06,Hotel 1,173,Reembolsable,Triple
Todo Incluido,2022-06-06,Hotel 1,196,No Reembolsable,Junior Suite
Todo Incluido,2022-06-06,Hotel 1,122,No Reembolsable,Individual
Desayuno,2022-06-06,Hotel 1,102,No Reembolsable,Doble
Media Pension,2022-06-06,Hotel 1,96,No Reembolsable,Triple
Todo Incluido,2022-06-06,Hotel 1,198,No Reembolsable,Suite
Desayuno,2022-06-06,Hotel 1,90,No Reembolsable,Suite
Media Pension,2022-06-06,Hotel 1,190,No Reembolsable,Triple
Desayuno,2022-06-06,Hotel 1,105,Reembolsable,Doble
Pension Completa,2022-06-07,Hotel 1,83,Reembolsable,Junior Suite
Solo Alojamiento,2022-06-07,Hotel 1,128,Reembolsable,Triple
Media Pension,2022-06-07,Hotel 1,141,Reembolsable,Individual
Solo Alojamiento,2022-06-07,Hotel 1,176,No Reembolsable,Individual
Pension Completa,2022-06-07,Hotel 1,153,Reembolsable,Individual
Todo Incluido,2022-06-07,Hotel 1,136,Reembolsable,Suite
Desayuno,2022-06-07,Hotel 1,127,Reembolsable,Individual
Media Pension,2022-06-07,Hotel 1,121,No Reembolsable,Individual
Pension Completa,2022-06-07,Hotel 1,181,Reembolsable,Triple
Todo Incluido,2022-06-08,Hotel 1,79,Reembolsable,Suite
Media Pension,2022-06-08,Hotel 1,128,Reembolsable,Junior Suite
Solo Alojamiento,2022-06-08,Hotel 1,184,Reembolsable,Doble
Todo Incluido,2022-06-08,Hotel 1,85,No Reembolsable,Doble
Todo Incluido,2022-06-08,Hotel 1,107,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-08,Hotel 1,119,Reembolsable,Individual
Solo Alojamiento,2022-06-08,Hotel 1,146,Reembolsable,Individual
Pension Completa,2022-06-08,Hotel 1,187,No Reembolsable,Doble
Media Pension,2022-06-08,Hotel 1,106,No Reembolsable,Junior Suite
Pension Completa,2022-06-09,Hotel 1,163,No Reembolsable,Doble
Media Pension,2022-06-09,Hotel 1,114,Reembolsable,Doble
Solo Alojamiento,2022-06-09,Hotel 1,95,Reembolsable,Suite
Pension Completa,2022-06-09,Hotel 1,153,Reembolsable,Individual
Solo Alojamiento,2022-06-09,Hotel 1,138,Reembolsable,Doble
Media Pension,2022-06-09,Hotel 1,97,No Reembolsable,Junior Suite
Pension Completa,2022-06-09,Hotel 1,81,No Reembolsable,Triple
Pension Completa,2022-06-09,Hotel 1,124,Reembolsable,Junior Suite
Solo Alojamiento,2022-06-09,Hotel 1,189,No Reembolsable,Triple
Media Pension,2022-06-10,Hotel 1,128,Reembolsable,Doble
Todo Incluido,2022-06-10,Hotel 1,154,Reembolsable,Triple
Desayuno,2022-06-10,Hotel 1,166,Reembolsable,Doble
Pension Completa,2022-06-10,Hotel 1,174,No Reembolsable,Individual
Pension Completa,2022-06-10,Hotel 1,75,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-10,Hotel 1,191,Reembolsable,Individual
Media Pension,2022-06-10,Hotel 1,90,No Reembolsable,Junior Suite
Media Pension,2022-06-10,Hotel 1,126,Reembolsable,Triple
Todo Incluido,2022-06-10,Hotel 1,174,Reembolsable,Doble
Pension Completa,2022-06-11,Hotel 1,159,No Reembolsable,Triple
Todo Incluido,2022-06-11,Hotel 1,161,Reembolsable,Individual
Media Pension,2022-06-11,Hotel 1,123,No Reembolsable,Junior Suite
Desayuno,2022-06-11,Hotel 1,169,Reembolsable,Junior Suite
Solo Alojamiento,2022-06-11,Hotel 1,146,No Reembolsable,Suite
Solo Alojamiento,2022-06-11,Hotel 1,198,No Reembolsable,Suite
Solo Alojamiento,2022-06-11,Hotel 1,113,No Reembolsable,Individual
Solo Alojamiento,2022-06-11,Hotel 1,129,No Reembolsable,Suite
Pension Completa,2022-06-11,Hotel 1,179,No Reembolsable,Junior Suite
Todo Incluido,2022-06-12,Hotel 1,93,No Reembolsable,Individual
Pension Completa,2022-06-12,Hotel 1,146,Reembolsable,Individual
